Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","PCB",1,42.64,"","JLCPCB"
"USB A Type To Micro USB B Type 1M Cable ","usb cable",1,0.41,"https://robocraze.com/products/usb-to-micro-usb-cable?variant=40192442007705","robocraze"
"female pins","connectors",3,0.28,"https://robocraze.com/products/40x1-female-berg-strip?_pos=5&_sid=7dbcf9cbf&_ss=r","robocraze"
"raspberry pi pico","mcu",1,4.21,"https://robocraze.com/products/raspberry-pi-pico?variant=40194204860569&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=17937704573&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=17931338845&gbraid=0AAAAADgHQvYy5ICv2k3FTsuabMyJ0fSu1&gclid=Cj0KCQjw2MbPBhCSARIsAP3jP9yaVdQ3fHISi06ooGjh3m9m9IB-P7hm8X7wTPkkNGJwUihs7WsVG1QaAuErEALw_wcB","Robocraze"
"Aflion Hemisphere Cherry Profile PBT Keycaps","keycaps",1,21.07,"https://stackskb.com/store/hemisphere-keycaps/","stacks"
"Switches","keys",90,27.37,"https://stackskb.com/store/akko-creamy-cyan-switch-pack-of-45-pre-order/","stacks"
